,count,hate_speech,offensive_language,neither,class,tweet
6313,3,0,0,3,2,@iStricer You are hairy like a monkey. : P
6319,3,1,0,2,2,"@iamkrause 
I ain't never orderin from no colored pizza stow"
6324,3,0,0,3,2,"@icpchad @UnseeingEyes ......monkey look, just like you!"
6326,3,0,1,2,2,@idkconstancio I'm trash
6327,3,0,0,3,2,@idochips honky tonk badonka ankh
6334,3,2,1,0,0,@illbreatheyouin happy birthday faggot.
6337,3,0,1,2,2,"@ilovemytroops @SenatorTimScott I see. So you feel betrayed, your racism comes out. Shocked you didn't call him Uncle Tom you bitter loser"
6341,3,0,1,2,2,@imdevincarlson trash*
6342,3,1,0,2,2,@imgooby you're not funny trash
6344,3,0,0,3,2,@imjoshdean That's hoser eh to you. http://t.co/QuLrtOWmLB
6348,9,7,1,1,0,"@infidelpamelaLC I'm going to blame the black man, since they always blame ""whitey"" I'm an equal opportunity hater."
6352,3,0,0,3,2,@intheKCmix The last planet of the apes with my kids... It's been a minute
6354,3,0,1,2,2,"@intrepidokie nice lie #teabagger. Just because you want to see it doesn't make it real. Like Reagan was a conservative, another huge lie"
6355,3,2,1,0,0,"@iowahawkblog @jjauthor to ----&gt;@DavidMasciotra get past boot camp, and go active a few years, see what we REALLY do daily you liberal pussy"
6356,6,1,0,5,2,"@iowahawkblog I also recommend 6pack of shiner Bock and 12 hours of brisket duty at ""the pit"" feeding oak coals &#128521;"
6364,3,2,1,0,0,@itsjaylaaa eat shit nigga bitch turd bag dick beetle
6376,3,0,0,3,2,"@izziorizzi i'm not a trash talker, brah. i'm polite and diplomatic on and off the court."
6380,3,0,0,3,2,@jaaaaaade__ You can't see it but I'm flipping you the bird
6385,3,0,0,3,2,@jacobkesler @ki_kibaby @__adamdavis or if we pick you up in SC and take you with us nip to CR.
6386,3,0,0,3,2,"@jacquebland Weird to see a local yokel ""journalist"" get worked up enough to take such a pointed side, though. Thought they were impartial."
6393,3,2,1,0,0,@jakiekoelewijn nigga who's bitch u fucking cracker get your gay ass out my mentions.
6399,3,0,0,3,2,"@jasonjwilde On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
6407,3,2,1,0,0,@jayswaggkillah Is a fag
6412,3,0,1,2,2,"@jazqui That's why I'm partially glad that I have to say ""Hi ho, Kermit the Frog here"" to slip into my Kermit voice well."
6415,3,2,1,0,0,"@jdickerson @ScottPelley @bobschieffer all racist nTx trash w @NorahODonnell all hate to see this particular man in WH n not the ""Butler"""
6417,3,0,1,2,2,"@jeffgill24 hey #teabagger Bohner said he got ""98% of what he wanted"" in sequester. You sound like a moron when everyone knows you are LYING"
6427,3,2,1,0,0,"@jennybaquing so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!"
6429,3,0,1,2,2,"@jermhudson @lanele123 no way !! I'm on a ""dude you are fat"" diet Twinkies are the devil, so are breakfast tacos. I miss breakfast tacos&#128514;"
6434,3,0,0,3,2,@jesseleesoffer it totally does. smells like brownies every day i walk to work.
6435,3,0,0,3,2,@jessespector bird hats &gt; every other hat
6436,3,0,0,3,2,"@jessespector the bird has a hat. So it's hats on hats, who can beat that?"
6437,3,0,1,2,2,@jessicacassell1 find a new hillbilly!! #spiritweek!!
6438,3,0,0,3,2,@jessitron @Bsilverstrim77 ...in fact were I to start a for-profit university this would be the sole requirement for graduation!
6439,3,0,0,3,2,"@jesslaw Ha! I'm actually going to see a Yankee game, as weird as it sounds. My uncle's house in NJ is an hour away."
6440,3,0,1,2,2,@jesstoth we could get matching burner phones and be ghetto fab for a few months
6443,3,3,0,0,0,@jimachterfeld @joeo670 @dan_bernsein Bernstine is Chi Sox Jew fag.
6449,3,2,1,0,0,@jmellor432 fag
6452,3,2,1,0,0,@joeylattime @Mawson38 @ameriC00N thats just me rooting against a team I hate not banwagoning u retard u have a different favorite
6455,3,0,1,2,2,@joeysulipeck @myfoxmemphis the minute those red n yellow for rent signs go up the reg. ppl start selling n move
6456,3,2,1,0,0,"@joh2guy I LOVE RACISM! ""Blame whitey"" for EVERYTHING!
Now that you mention it! I bet the white man put the Desert tortoise on #BundyRanch"
6462,3,0,0,3,2,@jonsweethearts how are you Argie?
6465,3,0,0,3,2,@jordan_luree @NatalieSchroyer me or nat!? &#128514;&#128514; def not me with that shiner
6466,3,0,1,2,2,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.
6469,3,0,0,3,2,@joshbuddy blue cheese crackers intrigues and repulses me at the same time.
6470,3,2,1,0,0,@joshgnf @brana_nv @define808 @ironbjk @mrjstn oh shut up faggot get a disease overused on twitter
6475,3,0,0,3,2,"@jrlikeswhisky @ZwithR stegosaurus hissed like a snake, pterodactyl sounded like a crow,T-rex like a cross between a parrot and an elephant"
6478,3,0,0,3,2,@jsimsromance My guy is a Maine coon and a total cuddle bum. Every one that I've ever met has been super friendly.
6485,3,3,0,0,0,@jumpmastere8 @dmcgowen1776 @visitorvisiting its retarded
6486,3,0,1,2,2,@juniorshabidoo also Nack which autocorrect changed so I'm putting my phone in the trash and going to sleep
6488,3,2,0,1,0,@just_joshin7 fag.
6504,3,0,1,2,2,"@justinhall3434 
God bless you whitey. I be sleepin in tomorrow"
6510,3,0,1,2,2,@k_tempsss lol then they have one more flavor I think it's yellow idk.. But yea there bomb.
6515,3,0,0,3,2,@kamkamluvsblk Yeah one called me a race traitor lol
6528,3,0,1,2,2,"@karmendanielle_ aka he wanna keep you warm, shoulda just introduced himself #coons"
6529,6,2,1,3,2,@karmendanielle_ let the coons be great it's in the dream
6530,3,2,1,0,0,"@karmendanielle_ u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes"
6532,3,0,0,3,2,@kate_beckwith74 don't judge me monkey
6536,3,0,1,2,2,@kathleen_herne Stink should shut his hole &amp; just perform his tricks like a good trained monkey
6548,3,0,0,3,2,@kayliefarmer hey now there's no need for foul language you kike
6551,3,0,0,3,2,@kaylonnnnn then who are you to call me trash &#128522;
6554,3,0,1,2,2,"@kayt27 poor coon.......snow stopped here,now if the wind would it might be nice out,well for winter"
6560,4,0,0,4,2,"@kboydee like some of the ""worst"" lyrics they post are beautiful but just because they don't know what they're talking about, it's ""trash"""
6561,9,6,3,0,0,"@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim"
6562,3,0,0,3,2,@keishagreyxxx that's the beauty of them brownies I always daydream about what I'd do if I hit the powerball lol (nerdy but fun)
6565,3,2,1,0,0,@keltor_wade nah dude mostly just sound like a faggot
6568,3,0,0,3,2,@keno_ Isn't there a law that all clam chowder must be served im bread bowls? Haha
6571,3,0,0,3,2,@kenzieblake2015 its pretty easy actually. I'm just the cashier. Right now I'm eating those animal crackers lolol :)
6578,3,0,0,3,2,"@kfocht735 Nope - got lucky - some washing on the slopes, gonna make it a little rough combining but feeling very fortunate today"
6579,3,0,0,3,2,@khamillkilroy &#128514;&#128514; Shy Glizzy
6580,3,2,1,0,0,@kiara_curry i know im so kidding. Some of BET is funny. I love when blacks call eachother ignorant and niggers. Makes me not have to
6599,3,2,1,0,0,@kieffer_jason @zach_smith98 @NathannDevlin so why the fuck are still talking shit. You acting like a pussy ass nigga
6626,3,2,1,0,0,@kieffer_jason bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life
6636,3,2,1,0,0,@kieffer_jason here let me say it more clearly since your retarded ass don't understand
6637,3,2,1,0,0,@kieffer_jason how would u know if I don't fuck with you? Exactly you don't wtf I got shut your retarded ass up
6643,3,3,0,0,0,@kieffer_jason lmao why ur dad raised u to be a bitch made nigga
6651,3,3,0,0,0,@kieffer_jason oh am I lame but yo pussy ass didn't show up the fuck u talking bout oh scary ass white boy
6652,3,2,1,0,0,@kieffer_jason oh but I am and my grades say other wise so u can stfu and get off my Twitter or u can box simple ass that pussy boy
6669,3,2,1,0,0,@kieffer_jason your so fucking retared its not even funny bitch im going to sleep u
6670,3,2,1,0,0,@kiela_g_3 &#128514;&#128514;Alright fag what about this? http://t.co/5ht61NmjJ3
6673,3,0,0,3,2,@kilmeade @foxandfriends don't you mean crowd not crows
6680,3,0,0,3,2,@kincade00 @mistaturk5 lmaooo just call my phone if you want them birds *Migos Voice*
6683,3,2,1,0,0,@kincade00 shut up bitch for I spit on you
6691,3,2,1,0,0,@kingxxlopez Roberts is a fuckin fag&#128514; smack the shit outta him
6694,3,2,1,0,0,@kirstynehbu faggot
6695,3,2,0,1,0,@kitlange stop oppressing me! Have you heard of free speech? Stop shoving your lifestyle down my throat! 1st AMENDMENT! #tcot #teabaggers
6697,3,3,0,0,0,@kitten_nugget69 stfu dyke looking hoe.
6698,3,2,1,0,0,@kittty_jpg @SteeZeyFLOW @nosfiend215 at least im not black bitch your parents left you in the mcdonalds parking lot after you were born
6703,3,2,0,1,0,@klejdys He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.
6708,3,2,1,0,0,"@kmdk83 @BeautifulMined
I hopes dis ain't cause he colored cause I knows he be actin all nigga like"
6711,3,2,1,0,0,@krispy717 @grizzboadams fucking gay faggot look at that gay ass pink shirt haha
6712,3,2,1,0,0,@kristin12909 better nig. Lol but if anything ill flip u the 10 or something. Im tryna get some more cash
6714,3,0,0,3,2,@ksecus I give up on the Tankees I mean Yankees. Maybe next year!!
6715,3,2,1,0,0,@ktpowers98 @WendyDavisTexas Ha Ha Ha no good fat dyke
6716,3,1,0,2,2,"@kuczaaaK @Tyg235 Kris, griff is too ghetto to know anything about sperrys or vans"
6719,3,2,1,0,0,@kyleefagnola call him a cock blocking faggot
6735,3,0,0,3,2,"@lauramartyy ""wait n as in nick or m as in mick?"" &#128514;&#128514;"
6738,3,0,0,3,2,@lcl03 the slopes aren't for us bro Hahaha
6739,3,0,0,3,2,@lcl03 you've been talking trash since we were 3 and 5.
6740,3,2,1,0,0,@lcxancilleri faggot
6741,3,2,1,0,0,"@leetreble_ quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy"
6742,3,2,1,0,0,@leiacatherinexx don&#8217;t be a hurt little faggot
6743,3,2,1,0,0,"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta"""
6745,3,0,0,3,2,"@leprechaun_ie Strong with the Force, leprechauns are."
6759,3,2,1,0,0,"@lillivonschtupp @13Damage @BrazenModels 
I don't likes dat magazine. All da black folk look like dey one chromeasome away from da ape"
6765,3,0,1,2,2,@litigiousmind I skipped the running. And am eating chips. And brownies.
6770,3,0,0,3,2,"@littlelouie33 eh, take off hoser."
6775,6,0,0,6,2,"@lloyd7121 @jjauthor @petermickley 
Approximately 1/2 in one crash. There wasn't supposed to be that many members of a seal team on one bird"
6776,3,2,1,0,0,@lnsightful @zT_Supreme @uncr4fted @yoPapi_chulo omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot
6779,3,0,0,3,2,@longbongchris mk Hun just textith me
6782,3,2,1,0,0,@lord_jonesss none of my business ? Nigga if you get that I'm living with you lol and I'm stealing one of them bitches and 100k &#128056;&#9749;&#65039;
6784,3,0,0,3,2,@louiev_ lol just getting this..early bird catches the worm!
6785,3,0,0,3,2,@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube
6788,3,2,1,0,0,@lucas_wright955 @MichaelGT03 faggots
6789,3,0,0,3,2,"@luchadora41 so was slavery, prohibition and not letting women to vote... segregation jim crow laws.. etc etc i can do this all day lol"
6793,3,2,1,0,0,@luvvida You're right.. I be around my nig....
6807,3,0,0,3,2,"@mafenske I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all"
6808,3,2,1,0,0,@maggie_burdis @nickgoldapp lmao dude you are probably the biggest fag in nebraska &#128514;&#128514;&#128514;&#128514;&#128514;
6809,3,2,1,0,0,@mah5H stfu white trash
6812,3,3,0,0,0,@maliktender gayer then 2 faggots in bed together&#128129;
6813,3,0,0,3,2,@mallenokc @royceyoung extra yellow.
6814,3,0,0,3,2,@mandaxll2963 yellow is even better
6816,3,2,1,0,0,@marclamonthill will you mention why being called nigger is wrong(witch i agree with) &amp; bossy is wrong.but being called a pimp is still ok?
6823,3,0,1,2,2,@mark_mac18 @sheppast @rianscalia groves is trash IMO
6826,3,3,0,0,0,@marylene58 @sunflower1790 @shelliecorreia @Jan4USA no just a niggress that thinks she's human.
6827,3,3,0,0,0,"@matt_chu22 @RyanRiehle I'll do that, if you agree to take your Ethiopian starvin looking nigger ass back to Africa. #BuyFoodLittleGuy"
6832,6,1,2,3,2,"@mayarsharkawi Fake pics http://t.co/jtwUu9CYSr get off my TL, u r dismissed muzzie. @Darknight420 @JewJitsuGrl @Begbie_1 @efilnikcufecin7"
6835,3,0,0,3,2,@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.
6836,3,2,0,1,0,"@mayormcginn If racial minorities weren't criminally inclined, they wouldn't have so much to worry about. Act your color, race traitor!"
6846,3,0,0,3,2,@mdsaab1 lmaoo abo crusty hands
6848,3,0,1,2,2,@megalexatron trash about us and your from another conference- you can say goodbye
6850,3,0,0,3,2,@megann_17 you should make me brownies!
6851,3,0,0,3,2,"@megynkelly 
I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer"
6855,3,0,0,3,2,"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah."
6857,3,2,0,1,0,@mflagginski I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.
6858,3,0,0,3,2,@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up
6861,3,2,1,0,0,@michaeldbirch What else do you expect from that nigger lover?
6864,3,0,0,3,2,@michelle_westt birds of a feather..
6866,3,0,1,2,2,"@michigannews13 an coaches dont put them in positions to be successful, the offensive struggles can all be put on gardner, program is trash"
6867,3,0,0,3,2,"@michigannews13 wow. Thats great language coming from a HS coach, you sure are a role model, you're trash, just like your account"
6868,3,0,0,3,2,@mickeyhart lookin good mick!
6869,3,2,1,0,0,"@midgetmadz shut your dirty dirt trap you limp knees, ashy footed, blue balls, isolated hamster wheel, no nipples bitch"
6870,3,0,1,2,2,@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.
6871,3,2,1,0,0,"@mike_ray7 congratulations, you are officially fucking retarded."
6873,3,2,1,0,0,@mikecheck_123 the favorite drink of white trash everywhere....
6879,3,2,1,0,0,@milfmob @yoPapi_chulo fight me you fucking obese niglet
6880,3,0,1,2,2,"@mimi_sanabria I really did, right off my bed. Where you put all these dam yellow starburst!!!! *throws them out the window* &#128553;"
6881,3,2,1,0,0,@mimiswagnotes You are an ignorant cunt.
6883,3,0,0,3,2,@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister
6884,3,3,0,0,0,"@miranda_mills okay, let's fight you ginger faggot"
6886,3,1,0,2,2,@mis_sarahd @basedpapi1017 tranny
6891,3,2,1,0,0,@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot
6894,3,3,0,0,0,@mlvassallo Oh really? fags are gross You aids infected sick fuckers
6896,3,0,1,2,2,@mobilesuitwaifu All the helmets in Destiny are trash. I wish I could just rock an invisible bubble instead. Hunters look like Robocop.
6900,3,2,1,0,0,"@moneydriven @2ManyLouboutins glad about your uncle, another stupid faggot off the world, hopefully you next."
6901,3,2,1,0,0,"@moneydriven I see a picture of you smoking, such a man of god. Disgraceful nig, you sir, are an embarrassment."
6906,3,0,0,3,2,@moneypulatief @globalriot Nee dat is na langdurig gepest worden.Zoals ik al zei:in d kiem smoren.Is ook vb voor t kind hoe je moet optreden
6907,3,0,0,3,2,@monicawarren16 #pumprules is on bravo...quality trash
6908,3,0,0,3,2,@monkbent What's with that come-at-me-bro bird? Stressful.
6915,3,0,1,2,2,@mr_republicann chik fil a. hipotle is trash and taco bell will give you the runs
6918,3,0,0,3,2,@mrfoolycooly i dont think he did the celestial dragon killed him
6920,3,2,1,0,0,@mrgeology no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag
6924,3,0,0,3,2,@mtmcly he will need monkey bars on his tricycle
6938,3,2,1,0,0,@nCrusade @GodManiac_ come wage with us fag
6944,3,0,0,3,2,"@neemjemoeder @SvensTweet @Harry_Dillema @wltrrr steek d morele vinger maar in j neus, zelfde soort types bij NATO stenigt vrouwen by bosjes"
6951,3,0,1,2,2,@nhatty_ice49ers thank you jackass zebras
6970,3,2,1,0,0,@nosfiend215 @faggot696969 niggers
6972,3,0,0,3,2,@npratc Explains why they're waving trash bags around over their heads.
6975,9,0,1,8,2,"@nytimes seems if they dont come up with it, its trash, nobody outside hollywood knows what ppl will pay to see..ha! Guess those in hw dont"
6977,3,2,1,0,0,@oVoshubham No the fuck am not bitch how bout u get out there bitch ass Nigga stupid ass
6980,3,0,1,2,2,@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to
6982,3,0,1,2,2,"@ofhdirector Everybody, look at this bird-killing wind mill lover. ;-)"
6989,3,0,0,3,2,"@oliver_______ if you're making 300 clams for betting 5, i hope you do it for a living"
6990,3,0,1,2,2,"@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says ""u feel me"" &#128525;&#128525;&#128557;&#128166;"
6991,3,3,0,0,0,@onIinebaby I knew you were a faggot though
6993,3,1,0,2,2,@operationSAFE @GaltsGirl lived there and can attest to that. Trust them over any muzzie nation by a million light years
6994,3,0,0,3,2,"@orchetect Are we doing Mad Libs now? Cool. Uh... 
Twinkie 35' long, DJ Pon3 cameo, Magic&#8482;, Crystal Tree. #TNGSeason4Finale"
6997,3,0,1,2,2,@osnapitzthorne @AcaciaBrinley trash?
7005,6,0,0,6,2,@panchoftf red and yellow it should be then
7006,3,0,0,3,2,"@paolo Like...Charlie Chan-style? (Never saw that, either.) Hmm...makes me think of the ""Cockneys"" in the Killzone series."
7007,3,2,1,0,0,@passIt2Liv Hit a bitch it's not like you can see the bruises
7009,3,0,0,3,2,@patrickkimmis @White1979 Remember Dad running a rotary hoe over corn after a freeze to knock the dead leaves off after they turn brown
7010,3,2,1,0,0,@patrickstpierre You're a fucking faggot.
7011,3,0,0,3,2,@pauIjac because their parental unit is trash.
7012,3,0,0,3,2,"@pcrossvol there's always one...they never realize they are the worst- the unsolicited unaffiliated trash talker"""
7016,3,0,0,3,2,"@petehelm yeah, but Sting was already a proven draw. this is apples and oranges. he signs people with the sole purpose of burying them."
7018,6,0,0,6,2,@peteyhoti that funky monkey
7019,3,1,0,2,2,"@phalaenadispar 
How day feel bout colored folk?"
7024,3,2,1,0,0,@phishlicia I'm 5'8 fag &#128536;&#128536;
7026,3,2,1,0,0,@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed
7038,3,0,1,2,2,"@politicsofamy Whoa easy Amy, don't slag the Canucks too much with such a generalization"
7042,3,2,1,0,0,@poloswagmaster if you go could you hook up the plant city faggots or
7044,3,3,0,0,0,@pombuenaa I'm surprised you could read it with slits for eyes
7045,3,0,0,3,2,@pontotoc2 Aren't they the best? There story is here: http://t.co/Hs3nIFMueK. Now it's time to visit our yellow friends at @21cCincinnati!
7051,3,0,0,3,2,"@pragathiguru , i'm viswa moulie. I wanna be ur friend.. Please, shall i ?"
7052,3,2,0,1,0,@prettygrl_rocky ugly dyke
7066,3,0,0,3,2,@prtini Yes. And the @Yankees. And stalking weird people. SO MANY THINGS. #pr20chat
7067,3,0,0,3,2,"@pubsubs @Adessences @tzanchan86 btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
7075,4,0,1,3,2,@rachaelkbrown @BillyButlerKC @Oreo unexplainable!
7076,3,0,1,2,2,@rachel_gautreau @babyydrey hey Rachel G my name isint Kenneth ok let's just get that straight &#128070; you best be backing off before I go ghetto
7082,3,0,0,3,2,@ramaxe1965 dubya hates todays teabagger movement.
7084,3,0,1,2,2,@rasheedibrahim_ once it gets cold yall gonna be trash again lol
7085,3,0,0,3,2,@rashidgill5 I'll see you guys later. I gotta go bake my blood crackers. @RazaHussain101
7088,3,0,1,2,2,@ravenalegria13 @prattprattpratt I was impressed that anybody could chug a Smirnoff Ice that quickly.
7090,3,0,0,3,2,@rbigwood @GameOfArmsAMC of course! Win or lose you always had the most exciting matches. Spilt blood and all and you aren't a trash talker!
7091,3,0,1,2,2,@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!
7093,3,2,1,0,0,@real5Hfacts stfu u ugly dyke
7095,3,2,1,0,0,"@realDonaldTrump he looks like reg. Memphis,tn. trash! we got them everywhere."
7107,3,1,0,2,2,@regankelly91 go the gulls. First grade should be a cracker. Physical!
7110,3,0,0,3,2,"@rem @slicknet @netmag right, so the link would be your trash bin &#8230; gotcha"
7119,3,0,1,2,2,"@richarddeitsch yeah,but the cripple not getting up clean helped the call out...wouldn't have been fair either way"
7124,3,3,0,0,0,@rickygervais BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?
7136,3,0,0,3,2,@rochaaxx yellow
7138,3,1,0,2,2,@ronniecaine so 'how bout now' was just trash huh.
7143,3,0,0,3,2,@ryancommakerry @dianaaaxo @JennaAmendolare guys number 42 on the Yankees looks like uncle Stevie LMAO IM DYING
7147,3,0,1,2,2,"@ryanhoover like we all never gave the camera ""the bird""."
7151,3,2,1,0,0,"@salomanizor I'm a faggot :/

http://t.co/Gr627ldfaa"
7157,3,2,1,0,0,"@samzbikowski Cody is ALWAYS calling people ""nigger"". He's a fucking spaz!"
7158,3,0,0,3,2,@samzbikowski chug ranch
7159,3,2,1,0,0,@samzbikowski some negro amigo pulled a gun on Nate and I a few weeks ago. I was STOKED!&#128299;&#128299;&#128299;
7161,3,0,0,3,2,@sandcowboy31 hey it's hillbilly jim and Greg the hammer valentine #pffttt
7162,3,0,0,3,2,"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)"
7164,3,2,0,1,0,@saraelizabethj4 that's what happens when you date a colored
7165,3,2,1,0,0,@sarahVICwood im going to murder that fucking cunt
7169,3,2,1,0,0,@sassyharryballs ugly white bitch
7170,3,2,1,0,0,@sassyharryballs ur ballsack is hairy gtfo tranny prude bitch
7174,3,2,1,0,0,@saucygyro that was back when nigger music was decent
7176,3,0,0,3,2,@savannahx___ negative slopes aka a chart of my grades in math
7182,3,2,1,0,0,@sbsylvester @kieffer_jason @hunterbuch66 bitch u ugly then hoe
7189,3,0,1,2,2,@schola_gomes oh I'll make you some brownies alright;)))
7192,3,2,1,0,0,@seannn181 youre a fag
7193,3,0,0,3,2,"@seanphathaway That wasn't as bad, though drawing conclusions about ""WHITE AMERICA"" based on a 1,000 person poll is a slippery slope."
7194,3,2,1,0,0,@seansteiger31 @ me then faggot
7198,3,0,0,3,2,"@secretasianman @kitt Yeah, she's a real pom maven."
7199,3,0,1,2,2,@section90sSoul yall defense too trash for that &#128514;&#128514;&#128514;
7201,3,0,0,3,2,"@sekhmet1975 Cactus is a yellow lab chow mix too! Hershey was everybody's ""active"" buddy. Cactus is one special pup. She's an Angel."
7202,3,0,0,3,2,@selenalinn_ the jets are trash my bad i see what you meant &#128514;
7203,3,0,0,3,2,@selina_dabbagh the song? About pollo hermanos and Heisenberg?
7207,3,0,1,2,2,"@serenity_23 I assume so, the tranny went out this morning. I have a maxima."
7208,3,1,0,2,2,@sevensixxx_ @oldirtyjesus great reply except it was trash
7212,3,0,0,3,2,@shanetallant he won't bite! We promise he's a friendly bird :)
7219,3,2,1,0,0,@shefeelsD_Payne hell naw he ain't he the star of that team lol but I'm sure that white honkey called him a nigga
7226,3,2,0,1,0,@sho_time_ @MitchVorce chill ur pussy gay af
7229,3,1,0,2,2,"@shrekkalove 
You speak colored too?
I thinks I be in love"
7231,3,0,0,3,2,@simons_lives keep in shape for the ski slopes
7232,3,0,0,3,2,@simonslives @recordstoreday cheers dude might nip to town for #TheEditors #Vinyl ;-) #MusicMatters
7233,3,0,0,3,2,@sippey That's where birds came from.
7234,3,0,0,3,2,@sisternoles Fingers crossed for you. If not? Chug chug chug lol
7235,3,2,1,0,0,@sizzurp__ @bootyacid @ILIKECATS74 @yoPapi_chulo go back to lego club faggot
7237,3,2,1,0,0,@sizzurp__ @bootyacid @ILIKECATS74 @yoPapi_chulo yeah ok nigger.
7239,3,2,1,0,0,@skrabah Don't my nigga me honkie
7242,3,0,0,3,2,@skyereyes_ you a Oreo cookie now.
7243,3,0,1,2,2,@slayerific13 @brenda_skelton @daisymcgarr Don't get me wrong G.. I'd hunt birds but that's a lot of work &amp;.. well I just ain't that hungry
7244,3,0,0,3,2,@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun
7245,3,0,1,2,2,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.
7247,3,0,1,2,2,@slickbackjr_ I forgot you're the same bull that said Yeezus was good and that J.Cole is trash http://t.co/KkuZV5pdDr
7255,3,0,1,2,2,@smokeabluntdgaf @Haiimbreanna You guys don't get evolution do you? You only share a common ancestor with apes.
7257,3,0,0,3,2,@snortcourt13 @TripleAAAYY1995 @c_allen21 @JBake0622 apes
7261,3,0,0,3,2,@solopo82 y'all got the Taxis right now? And can I get the Oreo 5's right now if possible?
7262,3,2,1,0,0,@sophhh_marie ugly emo trash go cut
7270,3,0,0,3,2,"@spence1reed_ bro , i heard slaughter songs .. they all trash .. they just freestylers"
7273,3,0,0,3,2,@sportswatch time to dump another diet coke in the trash
7277,3,2,1,0,0,@sramirez07943 it's goldbar dumb bitch and no my dad wouldn't pick you up he doesn't like faggots like you &#128528;&#128076;&#128079;
7285,3,0,1,2,2,"@steve_phillips_ funny, I thought @bobmuellerwkrn #tbt 90s photo this week would have you hanging me over a trash can by my ankles"
7290,3,2,0,1,0,@stevoburns561 @ImSwaveyNShit @FreddieGibbs Soft shit? Are you handicapped or retarded?
7293,3,0,0,3,2,@strawberrycoca ling ling krunkchip
7294,3,0,1,2,2,@suchy_monster you make me feel all warm and fuzzy inside &#128522; #youCANsitwithus
7304,3,3,0,0,0,"@sweetakin Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms."
7305,3,0,1,2,2,@sweetlou462 Lol. Have fun! &#128516; I haven't been to a race since HS (Charlotte). Crazy redneck times. Lol.
7306,3,0,0,3,2,@sweetlou462 thanks Hun. &lt;3 I'm so crushed. I love working out. It'll be 2months gone by the time I go back. :/
7308,6,0,0,6,2,@syd_renae okay cool then I'm not the only one &#128520; mine is black and fuzzy and it has PINK on the back in all sparkles &#128081; hallelujah
7309,3,2,1,0,0,"@t5_harris Are you working on route running and catching. You'll be a good WR for Grier. Have fun with the white trash, racist UF fans. #FSU"
7318,3,0,1,2,2,@tarbetto. Find one where be beat Nathan Moons head into the ice too. Ol Andrew is straight trash as far as hockey.
7328,6,0,1,5,2,@tayscalf must have run out of brownies
7331,3,0,0,3,2,"@tdwp327 practically anything that&#8217;s colored red often contain red pigments extracted from the female coccus costa, or cochineal insect."
7333,3,1,0,2,2,@team_Darrion night jigaboo http://t.co/vxKCG4yGXF
7334,3,0,1,2,2,@teapot Great GIF. Got a source URL for @gifs?
7336,3,2,0,1,0,"@teenagesleuth .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!"
7340,3,1,0,2,2,"@terrorwatchusa .....I think its about #Whites trying to be the most #Blackish ......what we in Socal call ""wiggers"". #liberals #democrats"
7349,3,0,1,2,2,@theeCHACO @danawhite you watching this trash?
